16666666
44587023104082	44587051776895	44587023229759
44587040325384	44587068426478	44587040473978
44587055992780	44587085067520	44587056490489
44587073243822	44587101907259	44587073361478
44587089483249	44587118350280	44587089590384
44587108359082	44587134997311	44587108503249
44587123751582	44587151645436	44587123870541
44587139293509	44587168297780	44587139410697
44587159007832	44587184939864	44587159134655
44587173206270	44587201589707	44587173315384
44587190048093	44587218232572	44587190134655
44587205845072	44587234886270	44587205943405
44587231670749	44587251537520	44587231789343
44587241728093	44587268185488	44587241824603
44587257829291	44587284849863	44587257933770
44587276146061	44587301484134	44587276230853
44587293252728	44587318125593	44587293367572
44587310549395	44587334772624	44587310632520
44587327050957	44587351423978	44587327114499
44587345770541	44587368165228	44587345875020
44587357447259	44587384729238	44587357539499
44587375871530	44587401897572	44587375939134
44587394072728	44587418018561	44587394235072
44587409908093	44587434648249	44587410127259
44587423369863	44587451295697	44587423481113
44587439283926	44587467942103	44587439385488
44587456675384	44587484622311	44587456728509
44587474170072	44587501278613	44587474265176
44587491102468	44587517916947	44587491202780
44587508442988	44587534555020	44587508539551
44587524193301	44587551281582	44587524293197
44587540387728	44587567861322	44587540507259
44587556747832	44587584509551	44587556884968
44587845634290	44587867401790	44587852505488
44587876026165	44587900676269	44587876129863
44587887917467	44587917298874	44587888046009
44587905492988	44587933948926	44587905619238
44587921864186	44587950602780	44587921964499
44587938260592	44587967236269	44587938364811
44587954662728	44587983975176	44587954778197
44587970759342	44588000579863	44587970872363
44587989773978	44588017189238	44587990060124
44588005707103	44588033827259	44588005867259
44588022048822	44588050465853	44588022201217
44588042209915	44588067110592	44588042542259
44588054984863	44588083848926	44588055134915
44588071629238	44588100409551	44588071750019
44588087668405	44588117038613	44588087825697
44588107202624	44588133726061	44588107348405
44588122899342	44588150339967	44588122996842
44588141003144	44588167002207	44588141208144
44588156874915	44588183638926	44588157041426
44588173897051	44588200298613	44588174082311
44588190903874	44588216928040	44588190969290
44588209787988	44588233588561	44588209325019
44588226706582	44588250228717	44588226794551
44588243333196	44588266906009	44588243417519
44588258658926	44588283524655	44588258693509
44588274745228	44588300153821	44588274806113
44588288396165	44588316793301	44588288520176
44588305999446	44588333435540	44588306186165
44588321134030	44588350130332	44588321230332
44588337865384	44588366760228	44588337965176
44588356271373	44588383409342	44588356384811
44588373109811	44588400100384	44588373221582
44588389957728	44588416712311	44588390243509
44588406075123	44588433352676	44588406181217
44588423878978	44588450077676	44588423975592
44588438501061	44588466651530	44588438788353
44588455977207	44588483295332	44588456078978
44588472434238	44588499931738	44588472567832
44588726803144	44588749585853	44588726883457
44588754147103	44588782866894	44588754256478
44588771509134	44588799495384	44588771627988
44588787567050	44588816138665	44588787724655
44588804596842	44588832778405	44588804708092
44588821204394	44588849407832	44588821313300
44588837596217	44588866070227	44588837719915
44588853735540	44588882708925	44588853864186
44588875852884	44588899351477	44588876165800
44588888223561	44588916001425	44588888329811
44588904342884	44588932650852	44588904458769
44588924017259	44588949282415	44588924131790
44588936744394	44588965939238	44588936855488
44588954027259	44588982619342	44588954133405
44588970636738	44588999274134	44588970742207
44588994178873	44589015860957	44588994291738
44589005010384	44589032519654	44589005154967
44589021451790	44589049191842	44589021598561
44589038617988	44589065821061	44589038749967
44589056420123	44589082468977	44589056524290
44589074231113	44589099100644	44589074313092
44589090452884	44589115754238	44589090551738
44589109184602	44589132477154	44589109274967
44589120723873	44589149094707	44589120826373
44589135686686	44589165676529	44589135844290
44589158785384	44589182330227	44589158920279
44589169364759	44589198973040	44589169491842
44589187305904	44589215622050	44589187365123
44589204386009	44589232280175	44589204475488
44589221156373	44589248919394	44589221228456
44589237470800	44589265565696	44589237554967
44589255591009	44589282231113	44589255673925
44589270699290	44589298867050	44589270786946
44589288675436	44589315505019	44589294471946
44589304063248	44589332154186	44589304159863
44589319877259	44589348813456	44589320093456
44589606703456	44589631723248	44589606773092
44589636453769	44589665030227	44589636561894
44589655454029	44589681674185	44589655569967
44589671574654	44589698315435	44589671690748
44589689716321	44589714995852	44589689807571
44589706058040	44589731605123	44589706161060
44589722194394	44589748241425	44589722296894
44589737931998	44589764885019	44589738033613
44589754950696	44589781534967	44589755052258
44589771171269	44589798173769	44589771274498
44589787677623	44589814822779	44589787777363
44589804835227	44589831465800	44589804943196
44589822473665	44589848103613	44589822587102
44589838821946	44589864764290	44589838897206
44589854462727	44589881403404	44589854566998
44589870742206	44589898084862	44589870865383
44589887159029	44589914691946	44589887281685
44589903441842	44589931341112	44589904580019
44589920270019	44589947993769	44589921593560
44589936285123	44589964631321	44589937756581



-------------ScreenShot start dump------------
  args[0]:--latency
  args[1]:SurfaceView - io.github.forkmaintainers.iceraven.op7/org.mozilla.fenix.HomeActivity#0
-------------ScreenShot end dump------------
